Date,Open,High,Low,Close,Volume,Adj Close,Var
03/01/00,2.02941,2.02941,1.96418,1.98592,3485400,1.76471,
04/01/00,1.95331,1.96418,1.93519,1.94606,9363800,1.72929,-0.020071287
05/01/00,1.92794,1.93156,1.89895,1.9062,5368900,1.69387,-0.020482395
06/01/00,1.9062,1.94968,1.89895,1.94968,7255000,1.73251,0.022811668
07/01/00,1.97505,1.97868,1.94244,1.95331,7468400,1.73573,0.001858575
10/01/00,2.00042,2.00404,1.97143,2.00042,3210600,1.7776,0.024122415
11/01/00,2.04391,2.04391,1.98592,2.00404,5143500,1.78081,0.001805806
12/01/00,2.00042,2.12001,1.98592,2.12001,15859100,1.88386,0.057866926
13/01/00,2.11639,2.14175,2.06565,2.13813,24745100,1.89997,0.008551591
14/01/00,2.13088,2.13451,2.10189,2.11639,14825000,1.88065,-0.010168582
17/01/00,2.12001,2.12363,2.10914,2.11639,9281900,1.88065,0
18/01/00,2.11639,2.13813,2.11639,2.13813,13623300,1.89997,0.010273044
19/01/00,2.13813,2.14175,2.10914,2.11276,13665800,1.87742,-0.011868608
20/01/00,2.10914,2.10914,2.09102,2.09827,13497200,1.86455,-0.006855152
21/01/00,2.09464,2.10189,2.08377,2.08739,8565700,1.85488,-0.005186238
24/01/00,2.09827,2.10189,2.08377,2.10189,5846200,1.86776,0.006943845
25/01/00,2.09464,2.12001,2.09464,2.12001,5323200,1.88386,0.008619951
26/01/00,2.13451,2.13813,2.12726,2.13813,9873300,1.89997,0.008551591
27/01/00,2.13088,2.13813,2.11276,2.13088,8406200,1.89352,-0.00339479
28/01/00,2.12001,2.12001,2.10189,2.10189,8661300,1.86776,-0.013604293
31/01/00,2.08377,2.08739,2.06565,2.07652,5883500,1.84522,-0.012067932
01/02/00,2.06565,2.07652,2.0584,2.07652,5494100,1.84522,0
02/02/00,2.06565,2.07652,2.0584,2.06927,6411700,1.83878,-0.003490099
03/02/00,2.07652,2.08015,2.06565,2.06927,10906300,1.83878,0
04/02/00,2.06203,2.06927,2.0584,2.0584,9950900,1.82912,-0.005253483
07/02/00,2.06203,2.0729,2.04753,2.04753,5369200,1.81946,-0.005281228
08/02/00,2.04753,2.05478,2.04028,2.04028,4388100,1.81302,-0.003539512
09/02/00,2.04753,2.04753,2.03304,2.03666,8487300,1.8098,-0.001776042
10/02/00,2.03666,2.04753,2.03666,2.04028,6055100,1.81302,0.001779202
11/02/00,2.04028,2.06203,2.04028,2.04028,4877900,1.81302,0
14/02/00,2.03666,2.04028,2.03304,2.03304,9001800,1.80658,-0.003552084
15/02/00,2.03304,2.03666,2.02579,2.03666,4730000,1.8098,0.001782373
16/02/00,2.03666,2.03666,2.02216,2.02579,5057500,1.80014,-0.005337606
17/02/00,2.02941,2.04028,1.99317,2.01492,7412700,1.79048,-0.005366249
18/02/00,1.9968,2.02216,1.99317,2.01129,5423300,1.78726,-0.0017984
21/02/00,1.99317,2.00404,1.98592,1.99317,4563200,1.77115,-0.009013798
22/02/00,1.98592,1.99317,1.97143,1.97143,8795600,1.75183,-0.010908167
23/02/00,1.97143,1.98592,1.97143,1.97505,12004000,1.75505,0.001838078
24/02/00,1.97505,1.97505,1.96056,1.96056,12143600,1.74218,-0.007333124
25/02/00,1.96056,1.96418,1.95693,1.96418,2269900,1.74539,0.001842519
28/02/00,1.96056,1.97505,1.95331,1.9678,3186100,1.74861,0.00184486
29/02/00,1.96418,1.9823,1.95693,1.9678,4345500,1.74861,0
01/03/00,1.9678,1.97505,1.95693,1.96056,3948000,1.74218,-0.003677206
02/03/00,1.96418,1.97143,1.94968,1.96418,4630700,1.74539,0.001842519
03/03/00,1.96418,1.97868,1.95693,1.9678,4940900,1.74861,0.00184486
06/03/00,1.9678,1.97868,1.95693,1.9678,5591100,1.74861,0
07/03/00,1.9678,1.9678,1.9678,1.9678,0,1.74861,0
08/03/00,1.94968,1.9678,1.92069,1.93881,11465500,1.72285,-0.014731701
09/03/00,1.93881,1.95693,1.91707,1.92069,9393700,1.70675,-0.009344981
10/03/00,1.94244,1.97505,1.93519,1.94968,4288700,1.73251,0.015093013
13/03/00,1.94968,1.94968,1.94968,1.94968,0,1.73251,0
14/03/00,1.93519,1.96418,1.92794,1.94606,1716900,1.72929,-0.001858575
15/03/00,1.94244,2.04753,1.94244,1.98955,15458100,1.76794,0.022350213
16/03/00,2.05115,2.06203,2.00404,2.01492,6297700,1.79048,0.012749301
17/03/00,2.01854,2.02941,1.9968,2.02579,8380400,1.80014,0.005395201
20/03/00,2.02579,2.02579,2.01129,2.01854,3293800,1.7937,-0.0035775
21/03/00,2.00767,2.02216,2.00767,2.02216,1802700,1.79691,0.001789597
22/03/00,2.02579,2.02941,2.01854,2.02579,3472200,1.80014,0.00179753
23/03/00,2.02216,2.02941,2.00404,2.00767,5262600,1.78404,-0.008943749
24/03/00,2.02216,2.03304,2.01854,2.02941,5478900,1.80336,0.010829354
27/03/00,2.02941,2.05478,2.01854,2.02216,2823900,1.79691,-0.003576657
28/03/00,2.02941,2.03666,2.01492,2.02579,3943900,1.80014,0.00179753
29/03/00,2.02579,2.04028,2.02216,2.03304,23172800,1.80658,0.0035775
30/03/00,2.02941,2.04391,2.02216,2.03304,13377800,1.80658,0
31/03/00,2.04391,2.04391,2.04028,2.04028,0,1.81302,0.003564747
